age,balance,day,campaign,job,month,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,default_no,default_yes,housing_no,housing_yes,loan_no,loan_yes,contact_cellular,contact_telephone,contact_unknown,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,y
58,2143,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
44,29,5,1,9,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
33,2,5,1,2,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
47,1506,5,1,1,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
33,1,5,1,11,8,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
35,231,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
28,447,5,1,4,8,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
42,2,5,1,2,8,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
58,121,5,1,5,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
43,593,5,1,9,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
41,270,5,1,0,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
29,390,5,1,0,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
53,6,5,1,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
58,71,5,1,9,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
57,162,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
51,229,5,1,5,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
45,13,5,1,0,8,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
57,52,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
60,60,5,1,5,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
33,0,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
28,723,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
56,779,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
32,23,5,1,1,8,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
25,50,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
40,0,5,1,5,8,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
44,-372,5,1,0,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
39,255,5,1,4,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
52,113,5,1,2,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
46,-246,5,2,4,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
36,265,5,1,9,8,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
57,839,5,1,9,8,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
49,378,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
60,39,5,1,0,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
59,0,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
